 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Total Asset Turnover, Fixed Assets Turnover Frequency, Revenue per person, Operating profit per person, Working Capital to Total Assets, Quick Assets/Total Assets, Cash/Total Assets, Cash/Current Liability, Current Liability to Assets, Total expense/Assets, Cash Turnover Rate, Fixed Assets to Assets, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Net Income to Total Assets, Equity to Liability,Bankrupt?
0.450397309,0.504034017,0.506986455,0.0,0.178753529,0.178753529,0.178753529,0.20487851,0.087615015,0.16072908,0.115609033,0.884390967,0.005180489,0.372957594,0.087628446,0.159716462,0.140929535,0.000162647,0.015463478,0.389091156,0.778115712,0.153374891,0.069737919,0.007309909,0.050257335,0.017202295,5450000000.0,0.457496849,0.117688423,0.666103393,0.464341731,0.570384529,0.780554329,0.032463577,0
0.530005362,0.572884867,0.574763103,0.259439214,0.200412962,0.200412962,0.200412962,0.235605559,0.116602883,0.193115915,0.115669498,0.884330502,0.005411828,0.370860668,0.1165828,0.191395822,0.16191904,0.000285956,0.021547229,0.398928111,0.829014393,0.482054643,0.064894254,0.003394063,0.101202869,0.01852312,4450000000.0,0.265439546,0.112923874,0.654555993,0.461815272,0.595347531,0.819963004,0.032441724,0
0.571150002,0.620148277,0.624176883,0.104464015,0.203278412,0.203278412,0.203278412,0.253852699,0.128654018,0.205317466,0.113795084,0.886204916,0.005536411,0.373689002,0.128657971,0.204072091,0.136431784,0.000248888,0.017637296,0.403790054,0.841219246,0.455586569,0.144189864,0.011948707,0.063697181,0.018362538,0.000134516,0.276147012,0.11970574,0.691773428,0.470119904,0.63154283,0.839128318,0.033033744,0
0.48340077,0.556694287,0.536163606,0.0,0.179217058,0.179217058,0.179217058,0.227474709,0.110251608,0.182044136,0.218943677,0.781056323,0.00658688,0.399979422,0.110207305,0.181087399,0.106446777,0.000782219,0.062647063,0.407543927,0.818119495,0.068259661,0.049627671,0.001372235,0.191852433,0.010379019,6160000000.0,0.057977775,0.124182006,0.65409553,0.460586412,0.404612049,0.806477353,0.015405672,0
0.510359284,0.537287396,0.552545639,0.732057901,0.194766339,0.194766339,0.194766339,0.234376477,0.115625763,0.177976953,0.128609003,0.871390997,0.007174392,0.372080799,0.114555344,0.176834326,0.287856072,0.002158288,0.095415889,0.407396938,0.809457441,0.612446645,0.275644299,0.011759865,0.124174052,0.034974687,981000000.0,0.065429197,0.110933234,0.617999599,0.454356454,0.573563511,0.799276895,0.028857869,0
0.546043972,0.617804187,0.600567482,0.051624658,0.251401121,0.251401121,0.251401121,0.286470644,0.107157398,0.237930255,0.150799649,0.849200351,0.012930045,0.374047996,0.107153908,0.228504638,0.166416792,0.003102397,0.165941571,0.409126885,0.801489165,0.569354256,0.039790091,0.001876815,0.112269325,0.00849879,3240000000.0,0.022059583,0.119737457,0.644901157,0.459607858,0.555845046,0.834985182,0.024103248,0
0.465070931,0.53368949,0.516944162,0.51533556,0.179469892,0.179469892,0.179469892,0.214900255,0.095269115,0.170520449,0.183420504,0.816579496,0.005642612,0.381240172,0.095290439,0.169542267,0.037481259,0.000152813,0.056372369,0.392279686,0.804444652,0.259962932,0.039685347,0.001342597,0.156716409,0.00393624,0.000110772,0.128754501,0.113807976,0.6237671,0.456596849,0.572140223,0.796315229,0.019155337,0
0.476332082,0.534507196,0.526580652,0.0,0.174918882,0.174918882,0.174918882,0.214805711,0.10039899,0.169993221,0.115095081,0.884904919,0.005203764,0.374145293,0.100379436,0.168999321,0.070464768,9460000000.0,0.005640174,0.393444291,0.755785896,0.231111521,0.019118704,0.001146843,0.088177883,0.02111899,2920000000.0,0.393512972,0.114063672,0.635830435,0.457715393,0.609689445,0.796530771,0.032626481,0
0.514113002,0.566779328,0.565340757,0.154367851,0.210147065,0.210147065,0.210147065,0.2312565,0.111717287,0.185659411,0.086343985,0.913656015,0.005274454,0.373070548,0.111721791,0.184669331,0.064467766,870000000.0,0.011010091,0.399029873,0.780637746,0.250131082,0.037732651,0.002954306,0.067444711,0.011735276,6460000000.0,0.393043355,0.113672571,0.642379287,0.459115458,0.638581131,0.815698137,0.044359183,0
0.522741676,0.579535543,0.575566144,0.0,0.229109603,0.229109603,0.229109603,0.236172828,0.113590099,0.189350004,0.043837107,0.956162893,0.018281446,0.369637181,0.113366554,0.18673554,0.127436282,0.002943533,0.025245656,0.401562606,0.945411246,0.804115155,0.371260615,0.04023052,0.048598866,0.040591001,0.000344965,0.01779719,0.110933234,0.654738832,0.465697575,0.666422887,0.822099152,0.087299894,0
